"BIOMEID","BIOMETYPE","PARENTID","BIOMEDESCR","CREATED_AT","UPDATED_AT"
1,Terrestrial,1,,2023-03-30 14:19:36.619 +0200,
2,Aquatic,2,,2023-03-30 14:19:36.619 +0200,
3,Tidal,3,,2023-03-30 14:19:36.619 +0200,
4,Freshwater,4,,2023-03-30 14:19:36.619 +0200,
5,Marine,5,,2023-03-30 14:19:36.619 +0200,
6,Tropical forest,1,,2023-03-30 14:19:36.619 +0200,
7,Tropical rainforest,6,,2023-03-30 14:19:36.619 +0200,
8,Tropical seasonal forest,6,,2023-03-30 14:19:36.619 +0200,
9,Tropical dry forest,6,,2023-03-30 14:19:36.619 +0200,
10,Tropical deciduous broadleaf forest and woodland,6,,2023-03-30 14:19:36.619 +0200,
11,Tropical evergreen broadleaf,6,,2023-03-30 14:19:36.619 +0200,
12,Tropical semi-evergreen broadleaf,6,,2023-03-30 14:19:36.619 +0200,
13,Tropical xerophytic shrubland,6,,2023-03-30 14:19:36.619 +0200,
14,Savanna,1,,2023-03-30 14:19:36.619 +0200,
15,Tropical savanna,14,,2023-03-30 14:19:36.619 +0200,
16,Subtropical savanna,14,,2023-03-30 14:19:36.619 +0200,
17,Temperate savanna,14,,2023-03-30 14:19:36.619 +0200,
18,Temperate deciduous broadleaf savanna,14,,2023-03-30 14:19:36.619 +0200,
19,Mediterranean savanna,14,,2023-03-30 14:19:36.619 +0200,
20,Flooded savanna,14,,2023-03-30 14:19:36.619 +0200,
21,Temperate forest,1,,2023-03-30 14:19:36.619 +0200,
22,Temperate deciduous broadleaf forest,21,,2023-03-30 14:19:36.619 +0200,
23,Temperate evergreen needleleaf forest,21,,2023-03-30 14:19:36.619 +0200,
24,Temperate evergreen needleleaf open woodland,21,,2023-03-30 14:19:36.619 +0200,
25,Temperate sclerophyll woodland and shrubland,21,,2023-03-30 14:19:36.619 +0200,
26,Temperate xerophytic shrubland,21,,2023-03-30 14:19:36.619 +0200,
27,Warm-temperate evergreen broadleaf and mixed,21,,2023-03-30 14:19:36.619 +0200,
28,Cool / cold forest,1,,2023-03-30 14:19:36.619 +0200,
29,Cool mixed forest,28,,2023-03-30 14:19:36.619 +0200,
30,Cool conifer forest,28,,2023-03-30 14:19:36.619 +0200,
31,Cool-temperate evergreen needleleaf forest,28,,2023-03-30 14:19:36.619 +0200,
32,Cool evergreen needleleaf forest,28,,2023-03-30 14:19:36.619 +0200,
33,Taiga (Boreal forest),28,,2023-03-30 14:19:36.619 +0200,
34,Cold mixed forest,28,,2023-03-30 14:19:36.619 +0200,
35,Cold deciduous forest,28,,2023-03-30 14:19:36.619 +0200,
36,Cold evergreen needleleaf forest,28,,2023-03-30 14:19:36.619 +0200,
37,Cold parkland,28,,2023-03-30 14:19:36.619 +0200,
38,Grassland,1,,2023-03-30 14:19:36.619 +0200,
39,Warm grass- / shrubland,38,,2023-03-30 14:19:36.619 +0200,
40,Cool grass- / shrubland,38,,2023-03-30 14:19:36.619 +0200,
41,Tundra,1,,2023-03-30 14:19:36.619 +0200,
42,Arctic tundra,41,,2023-03-30 14:19:36.619 +0200,
43,Cushion-forb tundra,42,,2023-03-30 14:19:36.619 +0200,
44,Erect dwarf shrub tundra,42,,2023-03-30 14:19:36.619 +0200,
45,Graminoid and forb tundra,42,,2023-03-30 14:19:36.619 +0200,
46,Low and high shrub tundra,42,,2023-03-30 14:19:36.619 +0200,
47,Prostrate dwarf shrub tundra,42,,2023-03-30 14:19:36.619 +0200,
48,Mediterranean,1,,2023-03-30 14:19:36.619 +0200,
49,Chaparral,48,,2023-03-30 14:19:36.619 +0200,
50,Xerophytic woods / scrub,48,,2023-03-30 14:19:36.619 +0200,
51,Desert,1,,2023-03-30 14:19:36.619 +0200,
52,Hot desert,51,,2023-03-30 14:19:36.619 +0200,
