JOURNALID,JOURNAL,JOURNALABB,PRINT_ISSN,ONLIN_ISSN,CREATED_AT,UPDATED_AT
1,Advances in Earth Science,Adv_Earth_Sci,,1001-912X,2021-11-19 22:11:05.011 +1100,
2,American Journal of Science,Am_J_Sci,0002-9599,1945-452X,2021-11-19 22:11:05.011 +1100,2023-03-27 19:51:35.027 +1100
3,Basin Research,Basin_Res,0950-091X,1365-2117,2021-11-19 22:11:05.011 +1100,
4,Earth and Planetary Science Letters,Earth_Planet_Sc_Lett,0012-821X,1385-013X,2021-11-19 22:11:05.011 +1100,
5,Earth-Science Reviews,Earth-Sci_Rev,0012-8252,1872-6828,2021-11-19 22:11:05.011 +1100,
6,Earth Surface Dynamics,Earth_Surf_Dynamics,2196-6311,2196-632X,2021-11-19 22:11:05.011 +1100,
7,Earth Surface Processes and Landforms,Earth_Surf_Proc_Land,0197-9337,1096-9837,2021-11-19 22:11:05.011 +1100,
8,Geochimica et Cosmochimica Acta,Geochim_Cosmochim_Ac,0016-7037,1872-9533,2021-11-19 22:11:05.011 +1100,
9,Geological Society of America Bulletin,Geol_Soc_Am_Bull,0016-7606,1943-2674,2021-11-19 22:11:05.011 +1100,
10,"Geological Society, London, Special Publications",Geol_Soc_London_Spec_Pub,,2041-4927,2021-11-19 22:11:05.011 +1100,
11,Geology,Geology,0091-7613,1943-2682,2021-11-19 22:11:05.011 +1100,
12,Geomorphology,Geomorphology,0169-555X,1872-695X,2021-11-19 22:11:05.011 +1100,
13,Geophysical Research Letters,Geophys_Res_Lett,0094-8276,1944-8007,2021-11-19 22:11:05.011 +1100,
14,Geosphere,Geosphere,,1553-040X,2021-11-19 22:11:05.011 +1100,
15,Global and Planetary Change,Global_Planet_Change,0921-8181,1872-6364,2021-11-19 22:11:05.011 +1100,
16,GSA Today,GSA_Today,1052-5173,1943-2690,2021-11-19 22:11:05.011 +1100,
17,International Journal of Earth Sciences,Int_J_Earth_Sci,1437-3254,1437-3262,2021-11-19 22:11:05.011 +1100,
18,Journal of Asian Earth Sciences,J_Asian_Earth_Sci,1367-9120,1878-5786,2021-11-19 22:11:05.011 +1100,
19,Journal of Geophysical Research: Earth Surface,J_Geophys_Res-Earth,2169-9003,2169-9011,2021-11-19 22:11:05.011 +1100,
20,Journal of Human Evolution,J_Hum_Evol,0047-2484,1095-8606,2021-11-19 22:11:05.011 +1100,
21,Journal of Mountain Science,J_Mt_Sci,1672-6316,1993-0321,2021-11-19 22:11:05.011 +1100,
22,Journal of South American Earth Sciences,J_S_Am_Earth_Sci,0895-9811,1873-0647,2021-11-19 22:11:05.011 +1100,
23,Journal of the Geological Society,J_Geol_Soc_London,0016-7649,2041-479X,2021-11-19 22:11:05.011 +1100,
24,Journal of the Japan Society of Engineering Geology,J_Jpn_Soc_Eng_Geol,,,2021-11-19 22:11:05.011 +1100,
25,Lithosphere,Lithosphere,1941-8264,1947-4253,2021-11-19 22:11:05.011 +1100,
26,Nature,Nature,0028-0836,1476-4687,2021-11-19 22:11:05.011 +1100,
27,Nature Geoscience,Nat_Geosci,1752-0894,1752-0908,2021-11-19 22:11:05.011 +1100,
28,"Palaeogeography, Palaeoclimatology, Palaeoecology",Palaeogeogr_Palaeocl,0031-0182,1872-616X,2021-11-19 22:11:05.011 +1100,
29,Progress in Earth and Planetary Science,Progress_Earth_Planet_Sci,,2197-4284,2021-11-19 22:11:05.011 +1100,
30,Quaternary Geochronology,Quat_Geochronol,1871-1014,1878-0350,2021-11-19 22:11:05.011 +1100,
31,Quaternary International,Quatern_Int,1040-6182,1873-4553,2021-11-19 22:11:05.011 +1100,
32,Quaternary Research,Quaternary_Res,0033-5894,1096-0287,2021-11-19 22:11:05.011 +1100,
33,Quaternary Science Reviews,Quaternary_Sci_Rev,0277-3791,1873-457X,2021-11-19 22:11:05.011 +1100,
34,Revista Brasileira de Geomorfologia,Rev_Bras_Geomorf,1519-1540,2236-5664,2021-11-19 22:11:05.011 +1100,
35,Science,Science,,1095-9203,2021-11-19 22:11:05.011 +1100,
36,Scientific Reports,Sci_Rep,,2045-2322,2021-11-19 22:11:05.011 +1100,
37,Sedimentary Geology,Sediment_Geol,0037-0738,1879-0968,2021-11-19 22:11:05.011 +1100,
38,Solid Earth,Solid_Earth,1869-9510,1869-9529,2021-11-19 22:11:05.011 +1100,
39,Swiss Journal of Geosciences,Swiss_J_Geosci,1661-8726,1661-8734,2021-11-19 22:11:05.011 +1100,
40,Tectonics,Tectonics,0278-7407,1944-9194,2021-11-19 22:11:05.011 +1100,
41,Tectonophysics,Tectonophysics,0040-1951,1879-3266,2021-11-19 22:11:05.011 +1100,
42,Terra Nova,Terra_Nova,0954-4879,1365-3121,2021-11-19 22:11:05.011 +1100,
43,The Journal of Geology,J_Geol,0022-1376,1537-5269,2021-11-19 22:11:05.011 +1100,
